Image,Solar Panels
solarpanels_native_2__x0_8688_y0_4565_dxdy_416.txt,3
solarpanels_native_1__x0_6529_y0_12161_dxdy_416.txt,27
solarpanels_native_2__x0_8462_y0_4064_dxdy_416.txt,19
solarpanels_native_1__x0_6372_y0_12395_dxdy_416.txt,8
solarpanels_native_1__x0_5382_y0_11947_dxdy_416.txt,1
solarpanels_native_1__x0_6652_y0_9260_dxdy_416.txt,5
solarpanels_native_3__x0_8933_y0_9634_dxdy_416.txt,3
solarpanels_native_3__x0_1306_y0_7498_dxdy_416.txt,4
solarpanels_native_1__x0_6595_y0_12655_dxdy_416.txt,6
solarpanels_native_1__x0_6951_y0_8990_dxdy_416.txt,8
solarpanels_native_1__x0_7511_y0_9647_dxdy_416.txt,10
solarpanels_native_1__x0_4848_y0_13193_dxdy_416.txt,6
solarpanels_native_1__x0_6104_y0_12162_dxdy_416.txt,11
solarpanels_native_3__x0_7698_y0_12177_dxdy_416.txt,7
solarpanels_native_1__x0_2688_y0_10278_dxdy_416.txt,9
solarpanels_native_3__x0_6665_y0_13763_dxdy_416.txt,3
solarpanels_native_3__x0_8066_y0_8436_dxdy_416.txt,1
solarpanels_native_3__x0_8464_y0_14300_dxdy_416.txt,13
solarpanels_native_3__x0_11801_y0_8910_dxdy_416.txt,26
solarpanels_native_1__x0_2485_y0_10437_dxdy_416.txt,4
solarpanels_native_1__x0_1501_y0_10325_dxdy_416.txt,3
solarpanels_native_3__x0_12152_y0_11267_dxdy_416.txt,13
solarpanels_native_1__x0_5820_y0_13494_dxdy_416.txt,9
solarpanels_native_3__x0_11053_y0_2277_dxdy_416.txt,4
solarpanels_native_1__x0_1779_y0_9525_dxdy_416.txt,4
solarpanels_native_2__x0_567_y0_11099_dxdy_416.txt,28
solarpanels_native_3__x0_10517_y0_10537_dxdy_416.txt,6
solarpanels_native_1__x0_1073_y0_8078_dxdy_416.txt,9
solarpanels_native_1__x0_485_y0_7943_dxdy_416.txt,8
solarpanels_native_3__x0_10047_y0_11695_dxdy_416.txt,4
solarpanels_native_1__x0_0_y0_7303_dxdy_416.txt,9
solarpanels_native_2__x0_8579_y0_1538_dxdy_416.txt,9
solarpanels_native_3__x0_9212_y0_13521_dxdy_416.txt,5
solarpanels_native_1__x0_9078_y0_12674_dxdy_416.txt,5
solarpanels_native_1__x0_13111_y0_2845_dxdy_416.txt,1
solarpanels_native_3__x0_8189_y0_12171_dxdy_416.txt,10
solarpanels_native_3__x0_4727_y0_12509_dxdy_416.txt,10
solarpanels_native_2__x0_9358_y0_3629_dxdy_416.txt,8
solarpanels_native_2__x0_2818_y0_5204_dxdy_416.txt,37
solarpanels_native_1__x0_369_y0_7142_dxdy_416.txt,11
solarpanels_native_2__x0_1_y0_11519_dxdy_416.txt,34
solarpanels_native_3__x0_7463_y0_9890_dxdy_416.txt,8
solarpanels_native_1__x0_3722_y0_11560_dxdy_416.txt,16
solarpanels_native_3__x0_7383_y0_9528_dxdy_416.txt,7
solarpanels_native_1__x0_530_y0_6964_dxdy_416.txt,7
solarpanels_native_1__x0_3671_y0_12986_dxdy_416.txt,9
solarpanels_native_3__x0_11851_y0_9196_dxdy_416.txt,48
solarpanels_native_3__x0_8296_y0_13909_dxdy_416.txt,3
solarpanels_native_1__x0_4690_y0_6164_dxdy_416.txt,7
solarpanels_native_2__x0_14319_y0_8718_dxdy_416.txt,4
solarpanels_native_3__x0_8589_y0_14675_dxdy_416.txt,11
solarpanels_native_2__x0_690_y0_10643_dxdy_416.txt,73
solarpanels_native_1__x0_2199_y0_6052_dxdy_416.txt,8
solarpanels_native_1__x0_8390_y0_10522_dxdy_416.txt,4
solarpanels_native_2__x0_9155_y0_3809_dxdy_416.txt,10
solarpanels_native_2__x0_6369_y0_2713_dxdy_416.txt,7
solarpanels_native_3__x0_7902_y0_1152_dxdy_416.txt,3
solarpanels_native_3__x0_11795_y0_8970_dxdy_416.txt,42
solarpanels_native_1__x0_8611_y0_10599_dxdy_416.txt,12
solarpanels_native_2__x0_591_y0_11197_dxdy_416.txt,23
solarpanels_native_2__x0_8585_y0_4053_dxdy_416.txt,17
solarpanels_native_1__x0_6964_y0_11458_dxdy_416.txt,5
solarpanels_native_2__x0_4983_y0_6604_dxdy_416.txt,8
solarpanels_native_1__x0_8092_y0_10423_dxdy_416.txt,4
solarpanels_native_1__x0_10055_y0_11061_dxdy_416.txt,7
solarpanels_native_1__x0_1943_y0_7104_dxdy_416.txt,10
solarpanels_native_3__x0_5442_y0_12984_dxdy_416.txt,13
solarpanels_native_1__x0_4073_y0_12000_dxdy_416.txt,9
solarpanels_native_1__x0_8431_y0_4941_dxdy_416.txt,1
solarpanels_native_1__x0_1483_y0_10330_dxdy_416.txt,3
solarpanels_native_2__x0_10633_y0_5756_dxdy_416.txt,4
solarpanels_native_3__x0_6223_y0_12749_dxdy_416.txt,2
solarpanels_native_1__x0_1095_y0_7782_dxdy_416.txt,11
solarpanels_native_3__x0_13756_y0_15968_dxdy_416.txt,2
solarpanels_native_2__x0_4465_y0_12088_dxdy_416.txt,3
solarpanels_native_1__x0_6650_y0_12095_dxdy_416.txt,35
solarpanels_native_3__x0_9363_y0_14944_dxdy_416.txt,16
solarpanels_native_1__x0_3374_y0_12821_dxdy_416.txt,4
solarpanels_native_2__x0_841_y0_10449_dxdy_416.txt,61
solarpanels_native_1__x0_7158_y0_9637_dxdy_416.txt,15
solarpanels_native_1__x0_8885_y0_12210_dxdy_416.txt,12
solarpanels_native_2__x0_873_y0_9259_dxdy_416.txt,2
solarpanels_native_2__x0_771_y0_10609_dxdy_416.txt,74
solarpanels_native_3__x0_6288_y0_12041_dxdy_416.txt,6
solarpanels_native_1__x0_3285_y0_12803_dxdy_416.txt,4
solarpanels_native_3__x0_8513_y0_15572_dxdy_416.txt,4
solarpanels_native_1__x0_4118_y0_13278_dxdy_416.txt,13
solarpanels_native_1__x0_186_y0_6855_dxdy_416.txt,8
solarpanels_native_1__x0_4526_y0_11648_dxdy_416.txt,12
solarpanels_native_3__x0_6567_y0_12148_dxdy_416.txt,6
solarpanels_native_3__x0_9760_y0_13018_dxdy_416.txt,3
solarpanels_native_2__x0_2622_y0_4514_dxdy_416.txt,7
solarpanels_native_2__x0_100_y0_2920_dxdy_416.txt,2
solarpanels_native_1__x0_1623_y0_6705_dxdy_416.txt,8
solarpanels_native_2__x0_0_y0_11587_dxdy_416.txt,34
solarpanels_native_2__x0_0_y0_949_dxdy_416.txt,6
solarpanels_native_1__x0_1432_y0_7265_dxdy_416.txt,9
solarpanels_native_1__x0_362_y0_6722_dxdy_416.txt,3
solarpanels_native_1__x0_522_y0_7827_dxdy_416.txt,11
solarpanels_native_2__x0_821_y0_10461_dxdy_416.txt,65
solarpanels_native_1__x0_7374_y0_9622_dxdy_416.txt,10
solarpanels_native_1__x0_6589_y0_11055_dxdy_416.txt,9
solarpanels_native_3__x0_10456_y0_10114_dxdy_416.txt,11
solarpanels_native_3__x0_10309_y0_9850_dxdy_416.txt,38
solarpanels_native_3__x0_7593_y0_12947_dxdy_416.txt,3
solarpanels_native_1__x0_7023_y0_11614_dxdy_416.txt,6
solarpanels_native_3__x0_10560_y0_10521_dxdy_416.txt,6
solarpanels_native_3__x0_9697_y0_10676_dxdy_416.txt,7
solarpanels_native_2__x0_15782_y0_14681_dxdy_416.txt,3
solarpanels_native_1__x0_4723_y0_13018_dxdy_416.txt,5
solarpanels_native_1__x0_6430_y0_12092_dxdy_416.txt,13
solarpanels_native_2__x0_10056_y0_3259_dxdy_416.txt,10
solarpanels_native_2__x0_527_y0_10846_dxdy_416.txt,44
solarpanels_native_3__x0_2335_y0_972_dxdy_416.txt,1
solarpanels_native_3__x0_4773_y0_12422_dxdy_416.txt,11
solarpanels_native_2__x0_5412_y0_6358_dxdy_416.txt,2
solarpanels_native_1__x0_7660_y0_8475_dxdy_416.txt,17
solarpanels_native_2__x0_691_y0_10938_dxdy_416.txt,29
solarpanels_native_3__x0_10222_y0_9890_dxdy_416.txt,41
solarpanels_native_3__x0_8434_y0_10230_dxdy_416.txt,3
solarpanels_native_1__x0_6034_y0_12096_dxdy_416.txt,10
solarpanels_native_3__x0_8052_y0_12718_dxdy_416.txt,5
solarpanels_native_1__x0_8623_y0_10945_dxdy_416.txt,9
solarpanels_native_1__x0_1075_y0_8779_dxdy_416.txt,11
solarpanels_native_1__x0_8628_y0_10957_dxdy_416.txt,9
solarpanels_native_3__x0_10896_y0_10018_dxdy_416.txt,9
solarpanels_native_2__x0_2841_y0_5022_dxdy_416.txt,32
solarpanels_native_2__x0_778_y0_8463_dxdy_416.txt,4
solarpanels_native_1__x0_4170_y0_11965_dxdy_416.txt,9
solarpanels_native_2__x0_792_y0_10381_dxdy_416.txt,49
solarpanels_native_3__x0_4936_y0_12449_dxdy_416.txt,9
solarpanels_native_1__x0_1951_y0_7656_dxdy_416.txt,5
solarpanels_native_1__x0_13725_y0_14849_dxdy_416.txt,4
solarpanels_native_3__x0_9663_y0_10728_dxdy_416.txt,7
solarpanels_native_1__x0_8731_y0_10623_dxdy_416.txt,9
solarpanels_native_3__x0_3798_y0_8251_dxdy_416.txt,1
solarpanels_native_3__x0_14418_y0_7726_dxdy_416.txt,8
solarpanels_native_3__x0_5968_y0_8934_dxdy_416.txt,5
solarpanels_native_2__x0_8569_y0_4017_dxdy_416.txt,17
solarpanels_native_3__x0_4336_y0_13039_dxdy_416.txt,3
solarpanels_native_3__x0_6024_y0_8836_dxdy_416.txt,5
solarpanels_native_2__x0_15527_y0_14122_dxdy_416.txt,8
solarpanels_native_1__x0_1879_y0_7112_dxdy_416.txt,8
solarpanels_native_1__x0_2372_y0_8115_dxdy_416.txt,9
solarpanels_native_2__x0_988_y0_10558_dxdy_416.txt,45
solarpanels_native_1__x0_8524_y0_13345_dxdy_416.txt,2
solarpanels_native_1__x0_8635_y0_10963_dxdy_416.txt,9
solarpanels_native_3__x0_11706_y0_9146_dxdy_416.txt,52
solarpanels_native_2__x0_606_y0_10888_dxdy_416.txt,38
solarpanels_native_1__x0_6484_y0_12169_dxdy_416.txt,19
solarpanels_native_1__x0_3990_y0_13252_dxdy_416.txt,11
solarpanels_native_3__x0_8400_y0_14275_dxdy_416.txt,10
solarpanels_native_2__x0_192_y0_11475_dxdy_416.txt,17
solarpanels_native_1__x0_1503_y0_8830_dxdy_416.txt,6
solarpanels_native_3__x0_9018_y0_12254_dxdy_416.txt,8
solarpanels_native_2__x0_5394_y0_6538_dxdy_416.txt,7
solarpanels_native_2__x0_5549_y0_6002_dxdy_416.txt,4
solarpanels_native_3__x0_8209_y0_12763_dxdy_416.txt,7
solarpanels_native_3__x0_10239_y0_9893_dxdy_416.txt,40
solarpanels_native_1__x0_8849_y0_12043_dxdy_416.txt,12
solarpanels_native_3__x0_12070_y0_11239_dxdy_416.txt,10
solarpanels_native_1__x0_913_y0_8939_dxdy_416.txt,11
solarpanels_native_3__x0_11159_y0_12624_dxdy_416.txt,5
solarpanels_native_2__x0_3416_y0_1960_dxdy_416.txt,1
solarpanels_native_2__x0_509_y0_11042_dxdy_416.txt,30
solarpanels_native_1__x0_2628_y0_12917_dxdy_416.txt,3
solarpanels_native_2__x0_0_y0_11615_dxdy_416.txt,33
solarpanels_native_2__x0_13269_y0_5339_dxdy_416.txt,5
solarpanels_native_2__x0_13813_y0_7121_dxdy_416.txt,2
solarpanels_native_3__x0_3552_y0_15968_dxdy_416.txt,4
solarpanels_native_1__x0_7438_y0_9843_dxdy_416.txt,4
solarpanels_native_3__x0_11733_y0_9322_dxdy_416.txt,32
solarpanels_native_2__x0_9456_y0_2798_dxdy_416.txt,3
solarpanels_native_3__x0_10058_y0_10031_dxdy_416.txt,23
solarpanels_native_2__x0_13069_y0_14531_dxdy_416.txt,1
solarpanels_native_2__x0_15126_y0_14043_dxdy_416.txt,3
solarpanels_native_1__x0_2353_y0_7042_dxdy_416.txt,4
solarpanels_native_3__x0_2383_y0_13033_dxdy_416.txt,3
solarpanels_native_3__x0_11036_y0_2409_dxdy_416.txt,4
solarpanels_native_1__x0_726_y0_7322_dxdy_416.txt,10
solarpanels_native_1__x0_9997_y0_10685_dxdy_416.txt,11
solarpanels_native_1__x0_6338_y0_8988_dxdy_416.txt,8
solarpanels_native_1__x0_149_y0_7979_dxdy_416.txt,8
solarpanels_native_3__x0_8210_y0_9152_dxdy_416.txt,5
solarpanels_native_1__x0_625_y0_8606_dxdy_416.txt,13
solarpanels_native_3__x0_7538_y0_9868_dxdy_416.txt,9
solarpanels_native_1__x0_8591_y0_10476_dxdy_416.txt,11
solarpanels_native_3__x0_12117_y0_11153_dxdy_416.txt,10
solarpanels_native_1__x0_3399_y0_3232_dxdy_416.txt,2
solarpanels_native_3__x0_10363_y0_1273_dxdy_416.txt,5
solarpanels_native_3__x0_5820_y0_10840_dxdy_416.txt,10
solarpanels_native_1__x0_5218_y0_13102_dxdy_416.txt,3
solarpanels_native_2__x0_2820_y0_5289_dxdy_416.txt,34
solarpanels_native_2__x0_880_y0_10344_dxdy_416.txt,41
solarpanels_native_3__x0_10978_y0_9173_dxdy_416.txt,12
solarpanels_native_1__x0_7720_y0_11584_dxdy_416.txt,6
solarpanels_native_1__x0_5931_y0_13220_dxdy_416.txt,8
solarpanels_native_1__x0_5797_y0_13468_dxdy_416.txt,9
solarpanels_native_1__x0_3263_y0_10035_dxdy_416.txt,8
solarpanels_native_1__x0_2739_y0_9903_dxdy_416.txt,6
solarpanels_native_1__x0_5848_y0_13294_dxdy_416.txt,9
solarpanels_native_3__x0_9842_y0_14253_dxdy_416.txt,7
solarpanels_native_3__x0_3151_y0_3631_dxdy_416.txt,3
solarpanels_native_3__x0_5784_y0_10902_dxdy_416.txt,10
solarpanels_native_2__x0_8571_y0_1413_dxdy_416.txt,9
solarpanels_native_1__x0_2240_y0_9439_dxdy_416.txt,4
solarpanels_native_1__x0_5453_y0_12941_dxdy_416.txt,8
solarpanels_native_3__x0_4438_y0_3806_dxdy_416.txt,9
solarpanels_native_2__x0_845_y0_10339_dxdy_416.txt,41
solarpanels_native_3__x0_9870_y0_14416_dxdy_416.txt,7
solarpanels_native_1__x0_4690_y0_11240_dxdy_416.txt,7
solarpanels_native_3__x0_11874_y0_9067_dxdy_416.txt,43
solarpanels_native_2__x0_0_y0_11602_dxdy_416.txt,33
solarpanels_native_1__x0_338_y0_7199_dxdy_416.txt,16
solarpanels_native_1__x0_4286_y0_10631_dxdy_416.txt,3
solarpanels_native_2__x0_911_y0_10535_dxdy_416.txt,62
solarpanels_native_2__x0_9497_y0_7482_dxdy_416.txt,4
solarpanels_native_1__x0_8675_y0_7726_dxdy_416.txt,4
solarpanels_native_3__x0_5933_y0_12270_dxdy_416.txt,5
solarpanels_native_3__x0_8402_y0_9745_dxdy_416.txt,5
solarpanels_native_2__x0_779_y0_10574_dxdy_416.txt,74
solarpanels_native_2__x0_9928_y0_2055_dxdy_416.txt,1
solarpanels_native_1__x0_3894_y0_13303_dxdy_416.txt,11
solarpanels_native_2__x0_3902_y0_13189_dxdy_416.txt,5
solarpanels_native_2__x0_7960_y0_2321_dxdy_416.txt,13
solarpanels_native_3__x0_9033_y0_12234_dxdy_416.txt,8
solarpanels_native_3__x0_9952_y0_11824_dxdy_416.txt,5
solarpanels_native_3__x0_13843_y0_4048_dxdy_416.txt,1
solarpanels_native_3__x0_5691_y0_11514_dxdy_416.txt,2
solarpanels_native_3__x0_9285_y0_12338_dxdy_416.txt,3
solarpanels_native_3__x0_5743_y0_1050_dxdy_416.txt,3
solarpanels_native_3__x0_9853_y0_14052_dxdy_416.txt,4
solarpanels_native_1__x0_7897_y0_10358_dxdy_416.txt,6
solarpanels_native_1__x0_4551_y0_10790_dxdy_416.txt,3
solarpanels_native_3__x0_8352_y0_11302_dxdy_416.txt,5
solarpanels_native_1__x0_1419_y0_9134_dxdy_416.txt,6
solarpanels_native_3__x0_11107_y0_12182_dxdy_416.txt,3
solarpanels_native_3__x0_4328_y0_15272_dxdy_416.txt,12
solarpanels_native_3__x0_6635_y0_11246_dxdy_416.txt,6
solarpanels_native_2__x0_58_y0_11009_dxdy_416.txt,6
solarpanels_native_1__x0_8045_y0_11305_dxdy_416.txt,9
solarpanels_native_2__x0_10714_y0_7341_dxdy_416.txt,5
solarpanels_native_2__x0_11188_y0_8224_dxdy_416.txt,6
solarpanels_native_1__x0_1816_y0_6688_dxdy_416.txt,15
solarpanels_native_3__x0_4769_y0_13391_dxdy_416.txt,3
solarpanels_native_2__x0_14369_y0_8759_dxdy_416.txt,4
solarpanels_native_1__x0_6526_y0_9142_dxdy_416.txt,9
solarpanels_native_3__x0_3069_y0_3749_dxdy_416.txt,3
solarpanels_native_1__x0_8233_y0_9890_dxdy_416.txt,6
solarpanels_native_2__x0_8566_y0_1490_dxdy_416.txt,9
solarpanels_native_3__x0_11165_y0_9609_dxdy_416.txt,19
solarpanels_native_1__x0_7709_y0_9480_dxdy_416.txt,3
solarpanels_native_1__x0_8081_y0_10617_dxdy_416.txt,7
solarpanels_native_1__x0_7066_y0_9842_dxdy_416.txt,10
solarpanels_native_1__x0_4033_y0_13297_dxdy_416.txt,10
solarpanels_native_1__x0_4046_y0_12354_dxdy_416.txt,5
solarpanels_native_1__x0_6678_y0_8819_dxdy_416.txt,10
solarpanels_native_1__x0_3919_y0_10836_dxdy_416.txt,3
solarpanels_native_1__x0_3484_y0_13116_dxdy_416.txt,12
solarpanels_native_1__x0_7666_y0_11464_dxdy_416.txt,4
solarpanels_native_2__x0_5011_y0_5801_dxdy_416.txt,17
solarpanels_native_2__x0_860_y0_10537_dxdy_416.txt,66
solarpanels_native_3__x0_9071_y0_14618_dxdy_416.txt,6
solarpanels_native_3__x0_9879_y0_14596_dxdy_416.txt,5
solarpanels_native_3__x0_10902_y0_9446_dxdy_416.txt,16
solarpanels_native_1__x0_7604_y0_9799_dxdy_416.txt,8
solarpanels_native_1__x0_4766_y0_12968_dxdy_416.txt,5
solarpanels_native_2__x0_2881_y0_5267_dxdy_416.txt,33
solarpanels_native_2__x0_12080_y0_12736_dxdy_416.txt,2
solarpanels_native_2__x0_8403_y0_3920_dxdy_416.txt,13
solarpanels_native_3__x0_10341_y0_9951_dxdy_416.txt,42
solarpanels_native_3__x0_10185_y0_9767_dxdy_416.txt,42
solarpanels_native_1__x0_7854_y0_8448_dxdy_416.txt,17
solarpanels_native_1__x0_6685_y0_6186_dxdy_416.txt,2
solarpanels_native_2__x0_215_y0_11428_dxdy_416.txt,11
solarpanels_native_2__x0_3638_y0_13147_dxdy_416.txt,4
solarpanels_native_3__x0_11009_y0_12793_dxdy_416.txt,9
solarpanels_native_3__x0_5859_y0_12078_dxdy_416.txt,2
solarpanels_native_1__x0_10380_y0_12987_dxdy_416.txt,4
solarpanels_native_3__x0_9396_y0_12989_dxdy_416.txt,6
solarpanels_native_3__x0_11228_y0_9497_dxdy_416.txt,17
solarpanels_native_2__x0_6493_y0_2809_dxdy_416.txt,5
solarpanels_native_1__x0_1808_y0_6881_dxdy_416.txt,16
solarpanels_native_3__x0_420_y0_6949_dxdy_416.txt,13
solarpanels_native_2__x0_503_y0_10837_dxdy_416.txt,46
solarpanels_native_2__x0_12275_y0_8660_dxdy_416.txt,2
solarpanels_native_2__x0_401_y0_10964_dxdy_416.txt,37
solarpanels_native_3__x0_11062_y0_8991_dxdy_416.txt,6
solarpanels_native_3__x0_11675_y0_9218_dxdy_416.txt,49
solarpanels_native_3__x0_5164_y0_12946_dxdy_416.txt,12
solarpanels_native_1__x0_8226_y0_12867_dxdy_416.txt,9
solarpanels_native_3__x0_5849_y0_3471_dxdy_416.txt,9
solarpanels_native_2__x0_2713_y0_4915_dxdy_416.txt,24
solarpanels_native_2__x0_1124_y0_10689_dxdy_416.txt,12
solarpanels_native_1__x0_1506_y0_9390_dxdy_416.txt,11
solarpanels_native_1__x0_8505_y0_8410_dxdy_416.txt,12
solarpanels_native_1__x0_8976_y0_11494_dxdy_416.txt,4
solarpanels_native_2__x0_11803_y0_357_dxdy_416.txt,2
solarpanels_native_1__x0_1979_y0_9543_dxdy_416.txt,7
solarpanels_native_2__x0_8470_y0_3997_dxdy_416.txt,19
solarpanels_native_1__x0_2646_y0_9553_dxdy_416.txt,6
solarpanels_native_3__x0_4775_y0_13883_dxdy_416.txt,7
solarpanels_native_2__x0_872_y0_10328_dxdy_416.txt,39
solarpanels_native_3__x0_4938_y0_12373_dxdy_416.txt,9
solarpanels_native_3__x0_9022_y0_12277_dxdy_416.txt,8
solarpanels_native_1__x0_915_y0_8217_dxdy_416.txt,8
solarpanels_native_3__x0_6406_y0_10849_dxdy_416.txt,15
solarpanels_native_1__x0_8890_y0_12702_dxdy_416.txt,6
solarpanels_native_1__x0_992_y0_6099_dxdy_416.txt,7
solarpanels_native_2__x0_3547_y0_0_dxdy_416.txt,3
solarpanels_native_1__x0_7538_y0_9368_dxdy_416.txt,6
solarpanels_native_1__x0_3467_y0_13064_dxdy_416.txt,15
solarpanels_native_2__x0_10632_y0_6082_dxdy_416.txt,2
solarpanels_native_1__x0_4929_y0_11867_dxdy_416.txt,3
solarpanels_native_2__x0_611_y0_10731_dxdy_416.txt,51
solarpanels_native_2__x0_0_y0_11440_dxdy_416.txt,33
solarpanels_native_1__x0_13505_y0_14698_dxdy_416.txt,5
solarpanels_native_1__x0_6522_y0_8894_dxdy_416.txt,12
solarpanels_native_1__x0_9478_y0_10992_dxdy_416.txt,16
solarpanels_native_2__x0_0_y0_11317_dxdy_416.txt,12
solarpanels_native_1__x0_1101_y0_6503_dxdy_416.txt,7
solarpanels_native_1__x0_3472_y0_13154_dxdy_416.txt,10
solarpanels_native_2__x0_5588_y0_6163_dxdy_416.txt,6
solarpanels_native_1__x0_4035_y0_13010_dxdy_416.txt,7
solarpanels_native_2__x0_2733_y0_5068_dxdy_416.txt,36
solarpanels_native_1__x0_6914_y0_12303_dxdy_416.txt,25
solarpanels_native_2__x0_2759_y0_4748_dxdy_416.txt,11
solarpanels_native_1__x0_10336_y0_10994_dxdy_416.txt,4
solarpanels_native_2__x0_838_y0_10659_dxdy_416.txt,54
solarpanels_native_1__x0_8141_y0_12142_dxdy_416.txt,19
solarpanels_native_3__x0_9346_y0_6661_dxdy_416.txt,2
solarpanels_native_3__x0_10277_y0_15868_dxdy_416.txt,1
solarpanels_native_3__x0_9499_y0_10683_dxdy_416.txt,7
solarpanels_native_1__x0_6147_y0_11202_dxdy_416.txt,3
solarpanels_native_1__x0_1039_y0_7477_dxdy_416.txt,13
solarpanels_native_1__x0_1869_y0_7288_dxdy_416.txt,6
solarpanels_native_2__x0_965_y0_10712_dxdy_416.txt,27
solarpanels_native_3__x0_8621_y0_12900_dxdy_416.txt,7
solarpanels_native_1__x0_7131_y0_11339_dxdy_416.txt,5
solarpanels_native_2__x0_9681_y0_11016_dxdy_416.txt,4
solarpanels_native_1__x0_2379_y0_6385_dxdy_416.txt,4
solarpanels_native_1__x0_13337_y0_14801_dxdy_416.txt,5
solarpanels_native_1__x0_10625_y0_646_dxdy_416.txt,4
solarpanels_native_1__x0_2068_y0_7597_dxdy_416.txt,4
solarpanels_native_3__x0_8295_y0_9718_dxdy_416.txt,3
solarpanels_native_1__x0_1584_y0_7429_dxdy_416.txt,9
solarpanels_native_3__x0_11619_y0_9190_dxdy_416.txt,47
solarpanels_native_1__x0_8568_y0_12637_dxdy_416.txt,3
solarpanels_native_2__x0_9737_y0_3173_dxdy_416.txt,8
solarpanels_native_3__x0_1243_y0_7643_dxdy_416.txt,10
solarpanels_native_3__x0_9539_y0_14667_dxdy_416.txt,14
solarpanels_native_3__x0_7729_y0_12426_dxdy_416.txt,4
solarpanels_native_1__x0_8335_y0_7902_dxdy_416.txt,12
solarpanels_native_3__x0_13434_y0_10387_dxdy_416.txt,2
solarpanels_native_2__x0_472_y0_11254_dxdy_416.txt,16
solarpanels_native_1__x0_9074_y0_13462_dxdy_416.txt,2
solarpanels_native_1__x0_827_y0_7302_dxdy_416.txt,9
solarpanels_native_1__x0_2480_y0_10247_dxdy_416.txt,5
solarpanels_native_1__x0_10056_y0_10656_dxdy_416.txt,8
solarpanels_native_3__x0_10538_y0_10132_dxdy_416.txt,6
solarpanels_native_1__x0_6498_y0_12420_dxdy_416.txt,15
solarpanels_native_1__x0_7192_y0_9584_dxdy_416.txt,10
solarpanels_native_2__x0_549_y0_10644_dxdy_416.txt,54
solarpanels_native_3__x0_8385_y0_11394_dxdy_416.txt,5
solarpanels_native_1__x0_8065_y0_0_dxdy_416.txt,3
solarpanels_native_2__x0_0_y0_953_dxdy_416.txt,6
solarpanels_native_1__x0_4427_y0_12896_dxdy_416.txt,3
solarpanels_native_2__x0_8510_y0_1500_dxdy_416.txt,9
solarpanels_native_3__x0_4753_y0_12893_dxdy_416.txt,7
solarpanels_native_1__x0_1398_y0_10006_dxdy_416.txt,6
solarpanels_native_1__x0_9783_y0_10933_dxdy_416.txt,8
solarpanels_native_2__x0_2921_y0_5266_dxdy_416.txt,30
solarpanels_native_1__x0_5200_y0_12763_dxdy_416.txt,5
solarpanels_native_1__x0_3215_y0_9954_dxdy_416.txt,4
